name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sampleof
socbrawl;Soccer Brawl (NGM-031);1991;SNK;NO;neogeo;YES;-;-
2020bb;2020 Super Baseball (set 1);1991;SNK / Pallas;NO;neogeo;YES;-;-
eightman;Eight Man (NGM-025)(NGH-025);1991;SNK / Pallas;NO;neogeo;YES;-;-
legendos;Legend of Success Joe / Ashitano Joe Densetsu;1991;SNK / WAVE;NO;neogeo;YES;-;-
ncommand;Ninja Commando;1992;Alpha Denshi Co.;NO;neogeo;YES;-;-
wh1;World Heroes (ALM-005);1992;Alpha Denshi Co.;NO;neogeo;YES;-;-
viewpoin;Viewpoint;1992;Sammy / Aicom;NO;neogeo;YES;-;-
aof;Art of Fighting / Ryuuko no Ken (NGM-044)(NGH-044);1992;SNK;NO;neogeo;YES;-;-
bstars2;Baseball Stars 2;1992;SNK;NO;neogeo;YES;-;-
fatfury1;Fatal Fury - King of Fighters / Garou Densetsu - shukumei no tatakai (NGM-033)(NGH-033);1992;SNK;NO;neogeo;YES;-;-
fatfury2;Fatal Fury 2 / Garou Densetsu 2 - arata-naru tatakai (NGM-047)(NGH-047);1992;SNK;NO;neogeo;YES;-;-
fbfrenzy;Football Frenzy (NGM-034)(NGH-034);1992;SNK;NO;neogeo;YES;-;-
kotm2;King of the Monsters 2 - The Next Thing (NGM-039)(NGH-039);1992;SNK;NO;neogeo;YES;-;-
lresort;Last Resort;1992;SNK;NO;neogeo;YES;-;-
mutnat;Mutation Nation (NGM-014)(NGH-014);1992;SNK;NO;neogeo;YES;-;-
quizdai2;Quiz Meitantei Neo & Geo - Quiz Daisousa Sen part 2 (NGM-042)(NGH-042);1992;SNK;NO;neogeo;YES;-;-
ssideki;Super Sidekicks / Tokuten Ou;1992;SNK;NO;neogeo;YES;-;-
androdun;Andro Dunos (NGM-049)(NGH-049);1992;Visco;NO;neogeo;YES;-;-
wh2;World Heroes 2 (ALM-006)(ALH-006);1993;ADK;NO;neogeo;YES;-;-
spinmast;Spin Master / Miracle Adventure;1993;Data East Corporation;NO;neogeo;YES;-;-
3countb;3 Count Bout / Fire Suplex (NGM-043)(NGH-043);1993;SNK;NO;neogeo;YES;-;-
fatfursp;Fatal Fury Special / Garou Densetsu Special (set 1)(NGM-058)(NGH-058);1993;SNK;NO;neogeo;YES;-;-
samsho;Samurai Shodown / Samurai Spirits (NGM-045);1993;SNK;NO;neogeo;YES;-;-
sengoku2;Sengoku 2 / Sengoku Denshou 2;1993;SNK;NO;neogeo;YES;-;-
aodk;Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku (ADM-008)(ADH-008);1994;ADK / SNK;NO;neogeo;YES;-;-
wh2j;World Heroes 2 Jet (ADM-007)(ADH-007);1994;ADK / SNK;NO;neogeo;YES;-;-
janshin;Jyanshin Densetsu - Quest of Jongmaster;1994;Aicom;NO;neogeo;YES;-;-
karnovr;Karnov's Revenge / Fighter's History Dynamite;1994;Data East Corporation;NO;neogeo;YES;-;-
strhoop;Street Hoop / Street Slam / Dunk Dream (DEM-004) (DEH-004);1994;Data East Corporation;NO;neogeo;YES;-;-
wjammers;Windjammers / Flying Power Disc;1994;Data East Corporation;NO;neogeo;YES;-;-
panicbom;Panic Bomber;1994;Eighting / Hudson;NO;neogeo;YES;-;-
gururin;Gururin;1994;Face;NO;neogeo;YES;-;-
zedblade;Zed Blade / Operation Ragnarok;1994;NMK;NO;neogeo;YES;-;-
aof2;Art of Fighting 2 / Ryuuko no Ken 2 (NGM-056);1994;SNK;NO;neogeo;YES;-;-
samsho2;Samurai Shodown II / Shin Samurai Spirits - Haohmaru jigokuhen (NGM-063)(NGH-063);1994;SNK;NO;neogeo;YES;-;-
ssideki2;Super Sidekicks 2 - The World Championship / Tokuten Ou 2 - real fight football (NGM-061)(NGH-061);1994;SNK;NO;neogeo;YES;-;-
kof94;The King of Fighters '94 (NGM-055)(NGH-055);1994;SNK;NO;neogeo;YES;-;-
tophuntr;Top Hunter - Roddy & Cathy (NGM-046);1994;SNK;NO;neogeo;YES;-;-
pbobblen;Puzzle Bobble / Bust-A-Move (Neo-Geo) (NGM-083);1994;Taito;NO;neogeo;YES;-;-
fightfev;Fight Fever (set 1);1994;Viccom;NO;neogeo;YES;-;-
sonicwi2;Aero Fighters 2 / Sonic Wings 2;1994;Video System Co.;NO;neogeo;YES;-;-
pspikes2;Power Spikes II (NGM-068);1994;Video System Co.;NO;neogeo;YES;-;-
moshougi;Syougi No Tatsujin - Master of Shougi;1995;ADK / SNK;NO;neogeo;YES;-;-
whp;World Heroes Perfect;1995;ADK / SNK;NO;neogeo;YES;-;-
pulstar;Pulstar;1995;Aicom;NO;neogeo;YES;-;-
froman2b;Idol Mahjong - final romance 2 (Neo CD Conversion);1995;hack;NO;neogeo;YES;-;-
kabukikl;Far East of Eden - Kabuki Klash / Tengai Makyou - Shin Den;1995;Hudson;NO;neogeo;YES;-;-
quizkof;Quiz King of Fighters (SAM-080)(SAH-080);1995;Saurus;NO;neogeo;YES;-;-
stakwin;Stakes Winner / Stakes Winner - GI kinzen seiha e no michi;1995;Saurus;NO;neogeo;YES;-;-
fatfury3;Fatal Fury 3 - Road to the Final Victory / Garou Densetsu 3 - haruka-naru tatakai (NGM-069)(NGH-069);1995;SNK;NO;neogeo;YES;-;-
rbff1;Real Bout Fatal Fury / Real Bout Garou Densetsu (NGM-095)(NGH-095);1995;SNK;NO;neogeo;YES;-;-
samsho3;Samurai Shodown III / Samurai Spirits - Zankurou Musouken (NGM-087);1995;SNK;NO;neogeo;YES;-;-
savagere;Savage Reign / Fu'un Mokushiroku - kakutou sousei;1995;SNK;NO;neogeo;YES;-;-
ssideki3;Super Sidekicks 3 - The Next Glory / Tokuten Ou 3 - eikou e no michi;1995;SNK;NO;neogeo;YES;-;-
kof95;The King of Fighters '95 (NGM-084);1995;SNK;NO;neogeo;YES;-;-
galaxyfg;Galaxy Fight - Universal Warriors;1995;Sunsoft;NO;neogeo;YES;-;-
marukodq;Chibi Marukochan Deluxe Quiz;1995;Takara;NO;neogeo;YES;-;-
doubledr;Double Dragon (Neo-Geo);1995;Technos;NO;neogeo;YES;-;-
gowcaizr;Voltage Fighter - Gowcaizer / Choujin Gakuen Gowcaizer;1995;Technos;NO;neogeo;YES;-;-
sonicwi3;Aero Fighters 3 / Sonic Wings 3;1995;Video System Co.;NO;neogeo;YES;-;-
goalx3;Goal! Goal! Goal!;1995;Visco;NO;neogeo;YES;-;-
puzzledp;Puzzle De Pon!;1995;Visco;NO;neogeo;YES;-;-
overtop;Over Top;1996;ADK;NO;neogeo;YES;-;-
twinspri;Twinkle Star Sprites;1996;ADK;NO;neogeo;YES;-;-
ninjamas;Ninja Master's - haoh-ninpo-cho;1996;ADK / SNK;NO;neogeo;YES;-;-
ghostlop;Ghostlop (prototype);1996;Data East Corporation;NO;neogeo;YES;-;-
magdrop2;Magical Drop II;1996;Data East Corporation;NO;neogeo;YES;-;-
dragonsh;Dragon's Heaven (development board);1996;Face;NO;neogeo;YES;-;-
mslug;Metal Slug - Super Vehicle-001;1996;Nazca;NO;neogeo;YES;-;-
turfmast;Neo Turf Masters / Big Tournament Golf;1996;Nazca;NO;neogeo;YES;-;-
ironclad;Choutetsu Brikin'ger - Iron clad (Prototype);1996;Saurus;NO;neogeo;YES;-;-
pgoal;Pleasure Goal / Futsal - 5 on 5 Mini Soccer (NGM-219);1996;Saurus;NO;neogeo;YES;-;-
ragnagrd;Ragnagard / Shin-Oh-Ken;1996;Saurus;NO;neogeo;YES;-;-
stakwin2;Stakes Winner 2;1996;Saurus;NO;neogeo;YES;-;-
aof3;Art of Fighting 3 - The Path of the Warrior / Art of Fighting - Ryuuko no Ken Gaiden;1996;SNK;NO;neogeo;YES;-;-
kizuna;Kizuna Encounter - Super Tag Battle / Fu'un Super Tag Battle;1996;SNK;NO;neogeo;YES;-;-
rbffspec;Real Bout Fatal Fury Special / Real Bout Garou Densetsu Special;1996;SNK;NO;neogeo;YES;-;-
samsho4;Samurai Shodown IV - Amakusa's Revenge / Samurai Spirits - Amakusa Kourin (NGM-222)(NGH-222);1996;SNK;NO;neogeo;YES;-;-
kof96;The King of Fighters '96 (NGM-214);1996;SNK;NO;neogeo;YES;-;-
ssideki4;The Ultimate 11 - The SNK Football Championship / Tokuten Ou - Honoo no Libero;1996;SNK;NO;neogeo;YES;-;-
wakuwak7;Waku Waku 7;1996;Sunsoft;NO;neogeo;YES;-;-
sdodgeb;Super Dodge Ball / Kunio no Nekketsu Toukyuu Densetsu;1996;Technos;NO;neogeo;YES;-;-
twsoc96;Tecmo World Soccer '96;1996;Tecmo;NO;neogeo;YES;-;-
breakers;Breakers;1996;Visco;NO;neogeo;YES;-;-
neodrift;Neo Drift Out - New Technology;1996;Visco;NO;neogeo;YES;-;-
neomrdo;Neo Mr. Do!;1996;Visco;NO;neogeo;YES;-;-
magdrop3;Magical Drop III;1997;Data East Corporation;NO;neogeo;YES;-;-
miexchng;Money Puzzle Exchanger / Money Idol Exchanger;1997;Face;NO;neogeo;YES;-;-
neobombe;Neo Bomberman;1997;Hudson;NO;neogeo;YES;-;-
shocktro;Shock Troopers (set 1);1997;Saurus;NO;neogeo;YES;-;-
kof97;The King of Fighters '97 (NGM-2320);1997;SNK;NO;neogeo;YES;-;-
lastblad;The Last Blade / Bakumatsu Roman - Gekka no Kenshi (NGM-2340);1997;SNK;NO;neogeo;YES;-;-
irrmaze;The Irritating Maze / Ultra Denryu Iraira Bou;1997;SNK / Saurus;NO;neogeo;YES;-;-
popbounc;Pop 'n Bounce / Gapporin;1997;Video System Co.;NO;neogeo;YES;-;-
shocktr2;Shock Troopers - 2nd Squad;1998;Saurus;NO;neogeo;YES;-;-
mslug2;Metal Slug 2 - Super Vehicle-001/II (NGM-2410) (NGH-2410);1998;SNK;NO;neogeo;YES;-;-
neocup98;Neo-Geo Cup '98 - The Road to the Victory;1998;SNK;NO;neogeo;YES;-;-
rbff2;Real Bout Fatal Fury 2 - The Newcomers / Real Bout Garou Densetsu 2 - the newcomers (NGM-2400);1998;SNK;NO;neogeo;YES;-;-
kof98;The King of Fighters '98 - The Slugfest / King of Fighters '98 - dream match never ends (NGM-2420);1998;SNK;NO;neogeo;YES;-;-
lastbld2;The Last Blade 2 / Bakumatsu Roman - Dai Ni Maku Gekka no Kenshi (NGM-2430)(NGH-2430);1998;SNK;NO;neogeo;YES;-;-
flipshot;Battle Flip Shot;1998;Visco;NO;neogeo;YES;-;-
breakrev;Breakers Revenge;1998;Visco;NO;neogeo;YES;-;-
blazstar;Blazing Star;1998;Yumekobo;NO;neogeo;YES;-;-
s1945p;Strikers 1945 Plus;1999;Psikyo;NO;neogeo;YES;-;-
garou;Garou - Mark of the Wolves (NGM-2530);1999;SNK;NO;neogeo;YES;-;-
mslugx;Metal Slug X - Super Vehicle-001 (NGM-2500)(NGH-2500);1999;SNK;NO;neogeo;YES;-;-
kof99;The King of Fighters '99 - Millennium Battle (NGM-2510);1999;SNK;NO;neogeo;YES;-;-
pbobbl2n;Puzzle Bobble 2 / Bust-A-Move Again (Neo-Geo);1999;Taito (SNK license);NO;neogeo;YES;-;-
ctomaday;Captain Tomaday;1999;Visco;NO;neogeo;YES;-;-
ganryu;Ganryu / Musashi Ganryuki;1999;Visco;NO;neogeo;YES;-;-
preisle2;Prehistoric Isle 2;1999;Yumekobo;NO;neogeo;YES;-;-
nitd;Nightmare in the Dark;2000;Eleven / Gavaking;NO;neogeo;YES;-;-
diggerma;Digger Man;2000;Kyle Hodgetts;NO;neogeo;YES;-;-
mslug3;Metal Slug 3 (NGM-2560);2000;SNK;NO;neogeo;YES;-;-
kof2000;The King of Fighters 2000 (NGM-2570) (NGH-2570);2000;SNK;NO;neogeo;YES;-;-
b2b;Bang Bang Busters (2010 NCI release);2000;Visco;NO;neogeo;YES;-;-
bangbead;Bang Bead;2000;Visco;NO;neogeo;YES;-;-
vliner;V-Liner (v0.7a);2001;Dyna / BreezaSoft;NO;neogeo;YES;-;-
zupapa;Zupapa!;2001;SNK;NO;neogeo;YES;-;-
kof2001;The King of Fighters 2001 (NGM-262?);2001;SNK / Eolith;NO;neogeo;YES;-;-
sengoku3;Sengoku 3 / Sengoku Densho 2001 (set 1);2001;SNK / Noise Factory;NO;neogeo;YES;-;-
jockeygp;Jockey Grand Prix (set 1);2001;Sun Amusement / BrezzaSoft;NO;neogeo;YES;-;-
kof2002;The King of Fighters 2002 (NGM-2650)(NGH-2650);2002;Eolith / Playmore;NO;neogeo;YES;-;-
rotd;Rage of the Dragons (NGM-264?);2002;Evoga / Playmore;NO;neogeo;YES;-;-
mslug4;Metal Slug 4 (NGM-2630);2002;Mega / Noise Factory / Playmore;NO;neogeo;YES;-;-
neopong;Neo Pong (ver 1.1);2002;Neo Dev Corporation;NO;neogeo;YES;-;-
matrim;Matrimelee / Shin Gouketsuji Ichizoku Toukon (NGM-2660) (NGH-2660);2002;Noise Factory / Atlus;NO;neogeo;YES;-;-
pnyaa;Pochi and Nyaa (Ver 2.02);2003;Aiky / Taito;NO;neogeo;YES;-;-
mslug5;Metal Slug 5 (NGM-2680);2003;SNK Playmore;NO;neogeo;YES;-;-
svc;SNK vs. Capcom - SVC Chaos (NGM-2690)(NGH-2690);2003;SNK Playmore;NO;neogeo;YES;-;-
kof2003;The King of Fighters 2003 (NGM-2710);2003;SNK Playmore;NO;neogeo;YES;-;-
samsho5;Samurai Shodown V / Samurai Spirits Zero (NGM-2700, set 1);2003;Yuki Enterprise / SNK Playmore;NO;neogeo;YES;-;-
samsh5sp;Samurai Shodown V Special / Samurai Spirits Zero Special (NGM-2720);2004;Yuki Enterprise / SNK Playmore;NO;neogeo;YES;-;-
ngfrog;Frog Feast (Neo Geo);2006;Rastersoft;NO;neogeo;YES;-;-
neopang;Neo Pang;2010;CeL;NO;neogeo;YES;-;-
totc;Treasure of the Caribbean;2011;FACE Corporation / N.C.I - Le Cortex;NO;neogeo;YES;-;-
timesup;Time's UP!;2012;NGF Dev. Inc.;NO;neogeo;YES;-;-
neothndr;Neo Thunder;2012;Sebastian Mihai;NO;neogeo;YES;-;-
neotet;NeoGeo 2-Player Tetris;2013;Crim/Stephen;NO;neogeo;YES;-;-
